PeakID (cmd=annotatePeaks.pl shared_777_mESC_peaks_EGFP_clone2_3_over_21_3163_mm10_vM25.bed mm10),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
295,chr10,122866688,122866966,+,0,NA,"intron (NM_001110218, intron 5 of 9)","intron (NM_001110218, intron 5 of 9)",118897,NR_029527,387251,,NR_029527,ENSMUSG00000065406,Mirlet7i,Mirnlet7i|let-7i|mmu-let-7i,microRNA let7i,ncRNA
2878,chr9,3031690,3032950,+,0,NA,Intergenic,GSAT_MM|Satellite|Satellite,6423,NR_039546,100628572,,NR_039546,ENSMUSG00000106183,Mir101c,mir-101c|mmu-mir-101c,microRNA 101c,ncRNA
656,chr12,98900747,98901433,+,0,NA,"5' UTR (NM_001081191, exon 1 of 44)","5' UTR (NM_001081191, exon 1 of 44)",394,NM_001081191,319670,,NM_001081191,ENSMUSG00000051166,Eml5,C130068M19Rik,echinoderm microtubule associated protein like 5,protein-coding
541,chr11,116654316,116654629,+,0,NA,promoter-TSS (NM_030206),promoter-TSS (NM_030206),-159,NM_030206,114886,,NM_030206,ENSMUSG00000020810,Cygb,3110001K20Rik|HGb|Staap,cytoglobin,protein-coding
2102,chr4,146474763,146475629,+,0,NA,Intergenic,CpG,26166,NM_001085522,433791,,NM_001085522,ENSMUSG00000070605,Zfp992,Gm13251,zinc finger protein 992,protein-coding
2256,chr5,129942066,129942466,+,0,NA,"exon (NM_027121, exon 1 of 3)","exon (NM_027121, exon 1 of 3)",157,NM_027121,69568,,NM_027121,ENSMUSG00000066735,Vkorc1l1,2310024K08Rik,"vitamin K epoxide reductase complex, subunit 1-like 1",protein-coding
2037,chr4,124861524,124861782,+,0,NA,"exon (NM_001007573, exon 1 of 4)","exon (NM_001007573, exon 1 of 4)",518,NM_001007573,215090,,NM_001007573,ENSMUSG00000042763,Maneal,Gm50,"mannosidase, endo-alpha-like",protein-coding
1373,chr18,64340811,64341389,+,0,NA,"exon (NM_194268, exon 1 of 2)","exon (NM_194268, exon 1 of 2)",736,NM_194268,225631,,NM_194268,ENSMUSG00000045991,Onecut2,C730009D12|OC-2|Oc2,"one cut domain, family member 2",protein-coding
784,chr13,85844884,85845270,+,0,NA,Intergenic,L1Md_T|LINE|L1,201718,NM_007749,12867,,NM_007749,ENSMUSG00000017778,Cox7c,COXVIIc|Cox7c1,cytochrome c oxidase subunit 7C,protein-coding
1225,chr17,34187622,34188234,+,0,NA,promoter-TSS (NM_013585),promoter-TSS (NM_013585),372,NM_013683,21354,,NM_013683,ENSMUSG00000037321,Tap1,ABC17|APT1|Abcb2|Ham-1|Ham1|MTP1|PSF1|RING4|TAP|Tap-1|Y3,"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)",protein-coding
1514,chr2,27886260,27886989,+,0,NA,"5' UTR (NM_015734, exon 1 of 66)","5' UTR (NM_015734, exon 1 of 66)",199,NM_015734,12831,,NM_015734,ENSMUSG00000026837,Col5a1,-,"collagen, type V, alpha 1",protein-coding
2049,chr4,129188828,129189557,+,0,NA,promoter-TSS (NM_134151),promoter-TSS (NM_134151),284,NM_001379598,74648,,NM_029036,ENSMUSG00000040928,S100pbp,4930429A08Rik|S100pbpr,S100P binding protein,protein-coding
2921,chr9,44379523,44380026,+,0,NA,"intron (NM_021395, intron 1 of 25)",CpG,284,NM_021395,12282,,NM_021395,ENSMUSG00000032115,Hyou1,CBP-140|Cab140|Grp170|Orp150,hypoxia up-regulated 1,protein-coding
2365,chr6,83441192,83441715,+,0,NA,promoter-TSS (NR_028382),promoter-TSS (NR_028382),225,NM_183138,194388,,NM_183138,ENSMUSG00000034832,Tet3,B430006D22Rik|D230004J03Rik,tet methylcytosine dioxygenase 3,protein-coding
2368,chr6,84585211,84585752,+,0,NA,"intron (NM_175475, intron 2 of 6)",CpG-12217,8329,NM_175475,232174,,NM_175475,ENSMUSG00000063415,Cyp26b1,CP26|P450RAI-2,"cytochrome P450, family 26, subfamily b, polypeptide 1",protein-coding
2479,chr7,19604135,19604471,+,0,NA,promoter-TSS (NR_125835),promoter-TSS (NR_125835),58,NR_125835,53609,,NM_016680,ENSMUSG00000061028,Clasrp,Clasp|Sfrs16|Srsf16|Swap2,CLK4-associating serine/arginine rich protein,protein-coding
3138,chrX,151743113,151743835,+,0,NA,Intergenic,L1Md_T|LINE|L1,-59808,NM_021523,59026,,NM_021523,ENSMUSG00000025261,Huwe1,5430439H10Rik|Arf-bp1|C430014N20Rik|Gm1718|Ib772|LASU1|Mule|Ureb1,"HECT, UBA and WWE domain containing 1",protein-coding
1351,chr18,46849431,46850794,+,0,NA,promoter-TSS (NM_029008),promoter-TSS (NM_029008),73,NM_029008,74574,,NM_029008,ENSMUSG00000024481,Lvrn,4833403I15Rik|AP-Q|APQ|Aqpep,laeverin,protein-coding
349,chr11,51263189,51263730,+,0,NA,promoter-TSS (NM_001358280),promoter-TSS (NM_001358280),203,NM_001358281,193286,,NM_177567,ENSMUSG00000045942,Msantd5l,4930503F14,Myb/SANT DNA binding domain containing 5 like,protein-coding
901,chr14,56887177,56887523,+,0,NA,"intron (NM_001360643, intron 1 of 24)","intron (NM_001360643, intron 1 of 24)",507,NM_001360643,76007,,NM_029498,ENSMUSG00000021945,Zmym2,5830413P05Rik|FIM|MYM|RAMP|SCLL|Zfp198|Znf198,"zinc finger, MYM-type 2",protein-coding
480,chr11,98052010,98053500,+,0,NA,"intron (NM_146028, intron 1 of 10)",CpG,707,NM_146028,217154,,NM_146028,ENSMUSG00000017400,Stac2,24b2|24b2/STAC2,SH3 and cysteine rich domain 2,protein-coding
2265,chr5,135868248,135869249,+,0,NA,"intron (NM_021403, intron 12 of 14)",CpG,-19171,NM_013560,15507,,NM_013560,ENSMUSG00000004951,Hspb1,27kDa|Hsp25,heat shock protein 1,protein-coding
475,chr11,97440252,97440736,+,0,NA,Intergenic,CpG,-9666,NM_021493,58996,,NM_021493,ENSMUSG00000049807,Arhgap23,A330041B18Rik,Rho GTPase activating protein 23,protein-coding
1276,chr17,71475041,71475415,+,0,NA,"5' UTR (NM_028887, exon 1 of 48)","5' UTR (NM_028887, exon 1 of 48)",115,NM_028887,74355,,NM_028887,ENSMUSG00000024054,Smchd1,4931400A14Rik|MommeD1|mKIAA0650,SMC hinge domain containing 1,protein-coding
442,chr11,84879627,84880253,+,0,NA,promoter-TSS (NM_001362893),promoter-TSS (NM_001362893),-230,NM_025414,66196,,NM_025414,ENSMUSG00000020527,Myo19,1110055A02Rik|Myohd1,myosin XIX,protein-coding
104,chr1,89930542,89930866,+,0,NA,"exon (NM_010262, exon 1 of 2)","exon (NM_010262, exon 1 of 2)",472,NM_010262,14472,,NM_010262,ENSMUSG00000034486,Gbx2,D130058E05Rik|Gbx-2|MMoxA|Stra7,gastrulation brain homeobox 2,protein-coding
1658,chr2,133554319,133554802,+,0,NA,"exon (NM_007553, exon 2 of 3)","exon (NM_007553, exon 2 of 3)",2401,NM_007553,12156,,NM_007553,ENSMUSG00000027358,Bmp2,Bmp2a,bone morphogenetic protein 2,protein-coding
1763,chr3,40799983,40800560,+,0,NA,"non-coding (NR_045576, exon 1 of 16)","non-coding (NR_045576, exon 1 of 16)",320,NM_173169,20873,,NM_011495,ENSMUSG00000025758,Plk4,1700028H20|Sak|Stk18,polo like kinase 4,protein-coding
1607,chr2,98666697,98667190,+,0,NA,Intergenic,GSAT_MM|Satellite|Satellite,1199286,NM_178725,241568,,NM_178725,ENSMUSG00000050587,Lrrc4c,6430556C10Rik|NGL-1,leucine rich repeat containing 4C,protein-coding
76,chr1,60566298,60566707,+,0,NA,"intron (NM_001045513, intron 1 of 13)",CpG,263,NM_001045513,77300,,NM_001045513,ENSMUSG00000026014,Raph1,9430025M21Rik|C730009O10Rik|Lpd,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,protein-coding
2792,chr8,117158039,117158561,+,0,NA,"exon (NM_001081151, exon 1 of 11)","exon (NM_001081151, exon 1 of 11)",319,NM_001081151,209239,,NM_001081151,ENSMUSG00000052557,Gan,A330045G18|gigaxonin,giant axonal neuropathy,protein-coding
2538,chr7,45865956,45866730,+,0,NA,"exon (NM_008172, exon 1 of 12)","exon (NM_008172, exon 1 of 12)",338,NM_008172,14814,,NM_008172,ENSMUSG00000002771,Grin2d,GluN2D|NMDAR2D|NR2D,"glutamate receptor, ionotropic, NMDA2D (epsilon 4)",protein-coding
30,JH584304.1,111695,112348,+,0,NA,NA,NA,NA,NA,,,,,,,,
88,chr1,74855045,74855915,+,0,NA,"exon (NM_009872, exon 1 of 1)","exon (NM_009872, exon 1 of 1)",451,NM_009872,12570,,NM_009872,ENSMUSG00000090071,Cdk5r2,B230310J22Rik|p39,"cyclin dependent kinase 5, regulatory subunit 2",protein-coding
458,chr11,94991645,94992663,+,0,NA,"exon (NM_172261, exon 1 of 10)","exon (NM_172261, exon 1 of 10)",942,NM_172261,217124,,NM_172261,ENSMUSG00000038976,Ppp1r9b,SPL|Spn,"protein phosphatase 1, regulatory subunit 9B",protein-coding
2127,chr4,155694522,155695022,+,0,NA,"exon (NM_178699, exon 1 of 1)","exon (NM_178699, exon 1 of 1)",430,NM_178699,230991,,NM_178699,ENSMUSG00000074738,Fndc10,B930041F14Rik|MNCb-3966,fibronectin type III domain containing 10,protein-coding
2965,chr9,65390513,65391798,+,0,NA,"exon (NM_028974, exon 1 of 1)","exon (NM_028974, exon 1 of 1)",497,NM_028974,74492,,NM_028974,ENSMUSG00000054978,Kbtbd13,5430433E21Rik,kelch repeat and BTB (POZ) domain containing 13,protein-coding
2487,chr7,27273754,27274372,+,0,NA,"exon (NM_010950, exon 7 of 10)","exon (NM_010950, exon 7 of 10)",15302,NM_010950,18223,,NM_010950,ENSMUSG00000063160,Numbl,nbl,numb-like,protein-coding
2668,chr8,13757527,13757786,+,0,NA,promoter-TSS (NM_027276),promoter-TSS (NM_027276),0,NM_027276,69957,,NM_027276,ENSMUSG00000038416,Cdc16,2700071J12Rik|2810431D22Rik|APC6,CDC16 cell division cycle 16,protein-coding
336,chr11,33147445,33148273,+,0,NA,promoter-TSS (NM_008005),promoter-TSS (NM_008005),-459,NR_102395,14172,,NM_008005,ENSMUSG00000057967,Fgf18,D130055P09Rik|FGF-18|Fgf6a,fibroblast growth factor 18,protein-coding
1670,chr2,147194231,147194475,+,0,NA,"intron (NR_030769, intron 1 of 5)",CpG,6929,NR_108091,78068,,NR_108091,ENSMUSG00000053545,6430503K07Rik,-,RIKEN cDNA 6430503K07 gene,ncRNA
2793,chr8,117256287,117256635,+,0,NA,promoter-TSS (NM_001163262),promoter-TSS (NM_001163262),-558,NM_001163262,74440,,NM_028941,ENSMUSG00000034390,Cmip,4933407C03Rik|5830471E12Rik,c-Maf inducing protein,protein-coding
2545,chr7,57386396,57387391,+,0,NA,promoter-TSS (NR_033504),promoter-TSS (NR_033504),322,NM_008074,14407,,NM_008074,ENSMUSG00000055026,Gabrg3,6330406O05Rik|B230362M20Rik|Gabrg-3,"gamma-aminobutyric acid type A receptor, subunit gamma 3",protein-coding
1298,chr17,87745797,87747051,+,0,NA,"exon (NM_199251, exon 2 of 2)","exon (NM_199251, exon 2 of 2)",51570,NM_199251,210741,,NM_199251,ENSMUSG00000050138,Kcnk12,mntk1,"potassium channel, subfamily K, member 12",protein-coding
2325,chr6,40435564,40436193,+,0,NA,"exon (NM_001356375, exon 1 of 9)","exon (NM_001356375, exon 1 of 9)",257,NM_001356375,243780,,NM_133929,ENSMUSG00000037172,Dennd11,E330009J07Rik|Lchn|mKIAA1147,DENN domain containing 11,protein-coding
400,chr11,70432090,70432513,+,0,NA,promoter-TSS (NM_001271359),promoter-TSS (NM_001271359),-279,NM_001271360,216869,,NM_145429,ENSMUSG00000060216,Arrb2,Arr3,"arrestin, beta 2",protein-coding
1435,chr19,29047463,29048167,+,0,NA,"exon (NM_021299, exon 1 of 5)","exon (NM_021299, exon 1 of 5)",146,NM_021299,56248,,NM_021299,ENSMUSG00000024782,Ak3,AK-3|Ak3l|Ak3l1|Akl3l,adenylate kinase 3,protein-coding
658,chr12,99645232,99645624,+,0,NA,"intron (NR_166738, intron 1 of 1)",LSU-rRNA_Hsa|rRNA|rRNA,2332,NR_166738,105245440,,NR_166738,ENSMUSG00000113136,Gm19951,-,"predicted gene, 19951",ncRNA
1137,chr16,78576161,78576718,+,0,NA,"5' UTR (NM_001252438, exon 1 of 5)","5' UTR (NM_001252438, exon 1 of 5)",249,NM_001252439,67102,,NM_025967,ENSMUSG00000022864,D16Ertd472e,1700010I10Rik|2310009O17Rik|E330003K22Rik|Eurl,"DNA segment, Chr 16, ERATO Doi 472, expressed",protein-coding
1103,chr16,18776796,18777556,+,0,NA,"exon (NM_013805, exon 1 of 1)","exon (NM_013805, exon 1 of 1)",329,NM_013805,12741,,NM_013805,ENSMUSG00000041378,Cldn5,MBEC1|Tmvcf,claudin 5,protein-coding
302,chr10,127526141,127526807,+,0,NA,"exon (NM_183297, exon 2 of 2)","exon (NM_183297, exon 2 of 2)",-4030,NM_028230,108037,,NM_028230,ENSMUSG00000025403,Shmt2,2700043D08Rik|SHMT,serine hydroxymethyltransferase 2 (mitochondrial),protein-coding
3151,chrY,260740,263692,+,0,NA,Intergenic,Intergenic,56066,NR_126546,102631771,,NR_126546,ENSMUSG00000101492,Gm29089,-,predicted gene 29089,ncRNA
467,chr11,96447949,96448298,+,0,NA,"non-coding (NR_033524, exon 3 of 3)","non-coding (NR_033524, exon 3 of 3)",16424,NR_033524,100038600,,NR_033524,,Gm11529,-,predicted gene 11529,ncRNA
277,chr10,103028132,103028787,+,0,NA,"exon (NM_172553, exon 1 of 4)","exon (NM_172553, exon 1 of 4)",318,NM_172553,216285,,NM_172553,ENSMUSG00000036602,Alx1,C130005I02|Cart1,ALX homeobox 1,protein-coding
305,chr10,128194144,128194665,+,0,NA,promoter-TSS (NM_001285779),promoter-TSS (NM_001285779),-231,NM_001033264,216456,,NM_001033264,ENSMUSG00000044005,Gls2,A330074B06Rik|GA|GLS|Lga,"glutaminase 2 (liver, mitochondrial)",protein-coding
1500,chr2,19658358,19659309,+,0,NA,promoter-TSS (NR_033642),promoter-TSS (NR_033642),-936,NR_033642,100041244,,NR_033642,,Gm3230,-,predicted gene 3230,ncRNA
171,chr1,172311611,172312712,+,0,NA,promoter-TSS (NM_080419),promoter-TSS (NM_080419),-206,NM_080419,140559,,NM_080419,ENSMUSG00000038034,Igsf8,ESTM34|EWI-2|KCT-4|PGRL,"immunoglobulin superfamily, member 8",protein-coding
2027,chr4,120747741,120748222,+,0,NA,promoter-TSS (NM_001081142),promoter-TSS (NM_001081142),-582,NM_001081142,60613,,NM_001081142,ENSMUSG00000028631,Kcnq4,-,"potassium voltage-gated channel, subfamily Q, member 4",protein-coding
1526,chr2,30982231,30982786,+,0,NA,promoter-TSS (NM_144885),promoter-TSS (NM_144885),229,NM_028846,74270,,NM_028846,ENSMUSG00000026854,Usp20,1700055M05Rik|Vdu2,ubiquitin specific peptidase 20,protein-coding
1452,chr19,40894724,40895651,+,0,NA,TTS (NR_106167),TTS (NR_106167),482,NM_028319,72672,,NM_028319,ENSMUSG00000049164,Zfp518a,2810401C22Rik|6330417C12Rik|Zfp518|Znf518|Znf518a|mKIAA0335,zinc finger protein 518A,protein-coding
997,chr15,75910041,75910489,+,0,NA,promoter-TSS (NM_001285433),promoter-TSS (NM_001285433),530,NM_178646,105734,,NM_178646,ENSMUSG00000103906,Tigd5,-,tigger transposable element derived 5,protein-coding
1577,chr2,73280385,73280937,+,0,NA,Intergenic,Intergenic,8735,NM_001005343,381373,,NM_001005343,ENSMUSG00000068859,Sp9,-,trans-acting transcription factor 9,protein-coding
2841,chr8,123594530,123595397,+,0,NA,Intergenic,Intergenic,-28876,NR_046127,100861480,,NR_046127,ENSMUSG00000119748,Gm25018,Rn5s10,"predicted gene, 25018",rRNA
1420,chr19,10100940,10101703,+,0,NA,"exon (NM_019699, exon 1 of 12)","exon (NM_019699, exon 1 of 12)",182,NM_019699,56473,,NM_019699,ENSMUSG00000024665,Fads2,2900042M13Rik|Fads2a|Fadsd2,fatty acid desaturase 2,protein-coding
2941,chr9,54950728,54951411,+,0,NA,promoter-TSS (NM_145229),promoter-TSS (NM_145229),-115,NM_145229,246735,,NM_145229,ENSMUSG00000044820,AY074887,Mcpr1,cDNA sequence AY074887,protein-coding
2506,chr7,30444809,30445477,+,0,NA,"intron (NM_007467, intron 1 of 16)","intron (NM_007467, intron 1 of 16)",439,NM_007467,11803,,NM_007467,ENSMUSG00000006651,Aplp1,-,amyloid beta precursor like protein 1,protein-coding
1465,chr19,46304711,46305641,+,0,NA,promoter-TSS (NM_001177370),promoter-TSS (NM_001177370),439,NM_001177369,18034,,NM_019408,ENSMUSG00000025225,Nfkb2,NF-kappaB2|lyt|p49|p49/p100|p50B|p52,"nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100",protein-coding
2596,chr7,101933489,101934099,+,0,NA,promoter-TSS (NM_001162974),promoter-TSS (NM_001162974),63,NM_001162974,69358,,NM_027053,ENSMUSG00000064307,Lrrc51,1700008D07Rik|Lrtomt,leucine rich repeat containing 51,protein-coding
946,chr14,113799404,113799724,+,0,NA,Intergenic,L1Md_A|LINE|L1,-1032401,NR_045661,75822,,NR_045661,ENSMUSG00000115320,4930524C18Rik,-,RIKEN cDNA 4930524C18 gene,ncRNA
1562,chr2,59160868,59161691,+,0,NA,promoter-TSS (NM_001362394),promoter-TSS (NM_001362394),429,NM_001362998,227937,,NM_026361,ENSMUSG00000026991,Pkp4,5031422I09Rik|9430019K17Rik|Armrp|p0071,plakophilin 4,protein-coding
2347,chr6,53083958,53084591,+,0,NA,Intergenic,(TTAGGG)n|Simple_repeat|Simple_repeat,-15650,NM_173406,231986,,NM_173406,ENSMUSG00000063568,Jazf1,C820002C15|Jaz1|Tip27,JAZF zinc finger 1,protein-coding
724,chr13,35038418,35038908,+,0,NA,Intergenic,(CACAG)n|Simple_repeat|Simple_repeat,-44519,NR_073427,23986,,NM_011868,ENSMUSG00000021417,Eci2,Acbd2|Drs1|Hca88|Peci,enoyl-Coenzyme A delta isomerase 2,protein-coding
50,chr1,36471737,36472287,+,0,NA,promoter-TSS (NR_168706),promoter-TSS (NR_168706),-243,NR_168706,102636368,,NR_168706,,Gm33454,-,"predicted gene, 33454",ncRNA
285,chr10,117147891,117148684,+,0,NA,"intron (NM_177798, intron 1 of 9)",CpG,187,NM_177798,327826,,NM_177798,ENSMUSG00000020170,Frs2,C330018A15Rik|FRS2-alpha|Frs2alpha|SNT-1|SNT1,fibroblast growth factor receptor substrate 2,protein-coding
3110,chrX,100007008,100007403,+,0,NA,"intron (NM_001177942, intron 1 of 7)",L1Md_A|LINE|L1,31599,NM_001177937,13607,,NM_010099,ENSMUSG00000059327,Eda,EDA1|Ed1|Eda-A1|Eda-A2|HED|Ta|Tnlg7c|XLHED|tabby,ectodysplasin-A,protein-coding
2905,chr9,27029528,27029805,+,0,NA,promoter-TSS (NM_178113),promoter-TSS (NM_178113),428,NM_178027,69091,,NM_178027,ENSMUSG00000031988,Vps26b,1810012I05Rik|2310075A12Rik,VPS26 retromer complex component B,protein-coding
1107,chr16,21205181,21205572,+,0,NA,"intron (NM_010143, intron 1 of 15)",CpG,581,NM_010143,13845,,NM_010143,ENSMUSG00000005958,Ephb3,Cek10|Etk2|HEK2|MDK5|Sek4|Tyro6|mDK-5,Eph receptor B3,protein-coding
855,chr14,27428817,27429384,+,0,NA,"exon (NM_001114879, exon 1 of 24)","exon (NM_001114879, exon 1 of 24)",266,NM_028945,218850,,NM_028945,ENSMUSG00000040651,Tasor,4732418E12|4933409E02Rik|D14Abb1e|Fam208a|MommeD6,transcription activation suppressor,protein-coding
869,chr14,35432771,35433403,+,0,NA,"intron (NM_008166, intron 8 of 15)",L1Md_T|LINE|L1,378891,NM_001033766,239036,,NM_001033766,ENSMUSG00000041068,4930596D02Rik,-,RIKEN cDNA 4930596D02 gene,protein-coding
1734,chr2,181459712,181460275,+,0,NA,promoter-TSS (NM_028125),promoter-TSS (NM_028125),-567,NM_028125,72147,,NM_027656,ENSMUSG00000027583,Zbtb46,2610019F01Rik|4933406L05Rik|BZEL|Btbd4,zinc finger and BTB domain containing 46,protein-coding
1418,chr19,8928916,8930181,+,0,NA,promoter-TSS (NM_009073),promoter-TSS (NM_009073),-115,NM_001374671,225898,,NM_144872,ENSMUSG00000071647,Eml3,Emap-3,echinoderm microtubule associated protein like 3,protein-coding
3,GL456393.1,9926,10307,+,0,NA,NA,NA,NA,NA,,,,,,,,
732,chr13,41249894,41250347,+,0,NA,"5' UTR (NM_001135577, exon 1 of 2)","5' UTR (NM_001135577, exon 1 of 2)",276,NM_001135577,108934,,NM_001135577,ENSMUSG00000091264,Smim13,2900036K02Rik,small integral membrane protein 13,protein-coding
2694,chr8,35588356,35588799,+,0,NA,"exon (NM_001081279, exon 1 of 3)","exon (NM_001081279, exon 1 of 3)",443,NR_040376,100504714,,NR_040376,ENSMUSG00000097357,Gm16793,-,"predicted gene, 16793",ncRNA
2628,chr7,128523530,128524505,+,0,NA,"exon (NM_013863, exon 1 of 4)","exon (NM_013863, exon 1 of 4)",434,NM_013863,29810,,NM_013863,ENSMUSG00000030847,Bag3,Bis|mg638,BCL2-associated athanogene 3,protein-coding
312,chr11,3998139,3998844,+,0,NA,"exon (NM_001177691, exon 3 of 3)","exon (NM_001177691, exon 3 of 3)",8558,NM_001177691,53897,,NM_016922,ENSMUSG00000049721,Gal3st1,Cst|Gcst,galactose-3-O-sulfotransferase 1,protein-coding
101,chr1,87509463,87510087,+,0,NA,"intron (NM_001111314, intron 3 of 14)",CpG,587,NM_019867,53972,,NM_019867,ENSMUSG00000026259,Ngef,Tims2|ephexin,neuronal guanine nucleotide exchange factor,protein-coding
3112,chrX,101273881,101274195,+,0,NA,promoter-TSS (NM_021521),promoter-TSS (NM_021521),-53,NM_021521,59024,,NM_021521,ENSMUSG00000079487,Med12,230kDa|Mopa|OPA-1|Tnrc11|Trap230,mediator complex subunit 12,protein-coding
290,chr10,120552459,120553091,+,0,NA,Intergenic,CpG,-76306,NM_001347170,15364,,NM_010441,ENSMUSG00000056758,Hmga2,9430083A20Rik|HMGI-C|Hmgic|pg|pygmy,high mobility group AT-hook 2,protein-coding
2739,chr8,83165549,83166035,+,0,NA,"5' UTR (NM_027758, exon 1 of 18)","5' UTR (NM_027758, exon 1 of 18)",440,NM_027758,71310,,NM_027758,ENSMUSG00000031709,Tbc1d9,4933431N12Rik,"TBC1 domain family, member 9",protein-coding
920,chr14,70159298,70159633,+,0,NA,promoter-TSS (NM_001112735),promoter-TSS (NM_001112735),37,NM_001112735,268759,,NM_001004155,ENSMUSG00000044551,9930012K11Rik,-,RIKEN cDNA 9930012K11 gene,protein-coding
150,chr1,155416699,155417224,+,0,NA,"intron (NM_011273, intron 1 of 14)",CpG,483,NM_011273,19775,,NM_011273,ENSMUSG00000026469,Xpr1,Rmc-1|Rmc1|Sxv|Syg1|XR,xenotropic and polytropic retrovirus receptor 1,protein-coding
1582,chr2,74704647,74704957,+,0,NA,promoter-TSS (NM_001290730),promoter-TSS (NM_001290730),187,NM_001290731,15437,,NM_008276,ENSMUSG00000027102,Hoxd8,4921540P06Rik|Hox-4.3|Hox-5.4,homeobox D8,protein-coding
763,chr13,57907789,57908216,+,0,NA,"intron (NM_009262, intron 1 of 11)",CpG,330,NM_001166463,20745,,NM_009262,ENSMUSG00000056222,Spock1,Spock|Ticn1|testican,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 1",protein-coding
2117,chr4,152799261,152799696,+,0,NA,Intergenic,Intergenic,101938,NR_033138,330004,,NM_001033414,,Gm833,-,predicted gene 833,ncRNA
2760,chr8,91313245,91313780,+,0,NA,promoter-TSS (NM_011936),promoter-TSS (NM_011936),-13,NM_011936,26383,,NM_011936,ENSMUSG00000055932,Fto,mKIAA1752,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding
236,chr10,58813617,58814037,+,0,NA,"exon (NM_172788, exon 1 of 10)","exon (NM_172788, exon 1 of 10)",468,NM_172788,237353,,NM_172788,ENSMUSG00000037990,Sh3rf3,4831416G18Rik|Igfbp5-ip|Sh3md4|Sh3rf31,SH3 domain containing ring finger 3,protein-coding
188,chr1,185203905,185204600,+,0,NA,promoter-TSS (NM_001163754),promoter-TSS (NM_001163754),84,NM_001163754,98732,,NM_172649,ENSMUSG00000039318,Rab3gap2,1110059F07Rik|2010002H18Rik|5830469C09|RAB3-GAP150|mKIAA0839,RAB3 GTPase activating protein subunit 2,protein-coding
753,chr13,54765961,54766266,+,0,NA,"intron (NM_001362407, intron 1 of 6)",CpG-3887,482,NM_001362407,104069,,NM_033610,ENSMUSG00000034891,Sncb,betaSYN,"synuclein, beta",protein-coding
2962,chr9,64736858,64737840,+,0,NA,"intron (NM_017382, intron 1 of 4)",CpG,407,NM_017382,53869,,NM_017382,ENSMUSG00000004771,Rab11a,-,"RAB11A, member RAS oncogene family",protein-coding
3003,chr9,95405477,95406209,+,0,NA,"exon (NM_018763, exon 2 of 2)","exon (NM_018763, exon 2 of 2)",1427,NM_018763,54371,,NM_018763,ENSMUSG00000033350,Chst2,C130041E03Rik|Chts2|GST-2|GlcNAc6ST|Gn6st,carbohydrate sulfotransferase 2,protein-coding
2567,chr7,79847933,79848537,+,0,NA,promoter-TSS (NM_008486),promoter-TSS (NM_008486),-25,NM_008486,16790,,NM_008486,ENSMUSG00000039062,Anpep,AP-M|AP-N|Apn|Cd13|P150,"alanyl aminopeptidase, membrane",protein-coding
385,chr11,69122112,69123122,+,0,NA,"exon (NM_033041, exon 4 of 4)","exon (NM_033041, exon 4 of 4)",2164,NM_033041,84653,,NM_033041,ENSMUSG00000023781,Hes7,bHLHb37,hes family bHLH transcription factor 7,protein-coding
2296,chr6,17463738,17464317,+,0,NA,promoter-TSS (NM_008591),promoter-TSS (NM_008591),70,NM_008591,17295,,NM_008591,ENSMUSG00000009376,Met,HGF|HGFR|Par4|c-Met,met proto-oncogene,protein-coding
160,chr1,166238418,166238794,+,0,NA,"exon (NM_175296, exon 1 of 12)","exon (NM_175296, exon 1 of 12)",138,NM_175296,98558,,NM_175296,ENSMUSG00000040629,Mael,4933405K18Rik,maelstrom spermatogenic transposon silencer,protein-coding
3147,chrX,170812683,170812880,+,0,NA,Intergenic,Intergenic,140137,NM_001308488,107626,,NM_001199212,ENSMUSG00000093806,Asmt,Hiomt,acetylserotonin O-methyltransferase,protein-coding
2264,chr5,135394483,135394835,+,0,NA,promoter-TSS (NM_148932),promoter-TSS (NM_148932),-113,NM_148932,107939,,NM_148932,ENSMUSG00000053293,Pom121,2610027A18Rik|mKIAA0618,nuclear pore membrane protein 121,protein-coding
1062,chr15,100468411,100469001,+,0,NA,promoter-TSS (NM_001357982),promoter-TSS (NM_001357982),-305,NM_001357984,68614,,NM_134093,ENSMUSG00000037353,Letmd1,1110019O13Rik|HCCR-2|HCCR1|MCC-32|Mccr,LETM1 domain containing 1,protein-coding
611,chr12,62549486,62549696,+,0,NA,Intergenic,L1Md_T|LINE|L1,-138196,NR_131949,73309,,NR_131949,,Spanxn4,1700047L15Rik,"SPANX family, member N4",ncRNA
197,chr10,11280632,11282083,+,0,NA,promoter-TSS (NM_001168297),promoter-TSS (NM_001168297),27,NM_027968,71865,,NM_027968,ENSMUSG00000047648,Fbxo30,1700026A16Rik|MUSA1,F-box protein 30,protein-coding
